,기온150CM_1,풍향300CM_1,습도150CM_1,토양수분10CM_1,일사량_1,기온150CM_2,풍향300CM_2,습도150CM_2,일사량_2,기온150CM_3,풍향300CM_3,습도150CM_3,일사량_3,기온150CM_4,풍향300CM_4,습도150CM_4,일사량_4,지역
0,9.94,251.33666666666667,62.443333333333335,29.099999999999998,4.25,18.439999999999998,205.41226666666668,68.15641025641025,16.03666666666667,24.503684210526316,192.06210526315786,79.22484210526316,12.972315789473685,8.719893617021276,205.3547872340426,68.32191489361702,8.583297872340426,1
1,1.1111702127659575,219.49031914893618,61.90946808510638,34.10393617021277,10.04808510638298,18.463510638297873,203.97372340425534,67.2204255319149,17.747340425531913,24.42968421052631,194.0974736842105,79.49526315789474,13.601578947368422,6.034736842105264,210.00726315789473,71.62947368421052,8.95378947368421,1
2,0.8,217.6888888888889,67.88888888888889,38.766666666666666,10.744444444444444,17.615384615384617,215.6153846153846,71.93406593406593,17.747252747252748,25.57608695652174,202.8804347826087,83.1304347826087,13.380434782608695,7.565217391304348,226.57608695652175,75.15217391304348,2.0543478260869565,1
3,3.2555555555555555,243.1,67.4,35.08888888888889,11.550978253322366,18.021978021978022,254.37362637362637,69.17582417582418,9.274725274725276,23.956521739130434,182.71875,80.71739130434783,13.25,7.25,214.22826086956522,71.16304347826087,10.5,1
4,2.311111111111111,265.18888888888887,65.71111111111111,35.28888888888889,12.066666666666666,17.813186813186814,235.67032967032966,68.75824175824175,19.406593406593405,24.16304347826087,197.4891304347826,77.27173913043478,16.847826086956523,8.826086956521738,224.15217391304347,77.19565217391305,8.923913043478262,1
5,1.6923076923076923,255.82417582417582,65.54945054945055,34.32967032967033,11.505494505494505,18.296703296703296,236.6153846153846,69.46153846153847,18.89010989010989,24.891304347826086,223.3804347826087,75.1195652173913,14.434782608695652,7.913043478260869,226.3586956521739,67.97826086956522,7.391304347826087,1
6,1.2333333333333334,261.7888888888889,62.68888888888889,34.833333333333336,10.822222222222223,17.417582417582416,265.97802197802196,62.7032967032967,17.65934065934066,23.815217391304348,201.27173913043478,77.75,6.521739130434782,5.978260869565218,238.69565217391303,65.19565217391305,2.7934782608695654,1
7,0.2,254.04444444444445,61.68888888888889,29.677777777777777,4.9222222222222225,16.89010989010989,234.21978021978023,68.43956043956044,4.172413793103447,24.880434782608695,201.8913043478261,72.40217391304348,30.78260869565218,6.336956521739131,233.95652173913044,60.96739130434783,25.42391304347826,1
8,1.9336666666666666,258.0184444444444,52.62744444444445,31.361444444444448,6.212111111111112,17.346263736263733,233.78725274725275,55.84021978021978,19.869780219780225,25.007826086956523,183.60478260869567,72.48891304347826,10.896739130434783,8.386847826086957,201.3341304347826,66.66945652173914,4.8036956521739125,1
9,3.7367032967032965,224.29120879120885,62.05560439560439,38.06230769230769,6.037472527472527,17.167472527472526,233.2137362637363,63.32329670329671,10.591428571428573,23.874891304347834,179.81978260869565,75.61858695652174,7.127065217391304,7.072747252747253,242.51626373626377,63.31483516483517,5.9471428571428575,1
10,7.946666666666666,242.74333333333334,73.92,25.37,7.71,20.226153846153846,194.44846153846154,73.39461538461539,16.939999999999998,22.600526315789477,187.2501052631579,85.20294736842106,11.493789473684211,5.163052631578947,208.01915789473685,78.1658947368421,5.945368421052632,2
11,-1.6079787234042553,206.60031914893614,58.11986842105262,24.427553191489366,6.7842553191489365,16.56304347826087,198.48271739130433,61.70076086956522,13.267282608695654,22.53915789473684,189.9985263157895,84.07947368421053,10.246842105263159,2.9842105263157896,210.87473684210525,78.25915789473683,5.488842105263158,2
12,-1.6222222222222222,211.0,74.04444444444445,23.766666666666666,7.377777777777778,16.53846153846154,203.5054945054945,75.35164835164835,13.054945054945055,23.71264367816092,190.54022988505747,89.91954022988506,8.540229885057471,4.815217391304348,177.06521739130434,81.73913043478261,4.956521739130435,2
13,1.0333333333333334,164.4777777777778,70.83333333333333,29.5,6.133333333333334,17.65934065934066,170.41758241758242,69.84615384615384,13.285714285714286,22.456521739130434,168.6195652173913,85.8586956521739,10.728260869565217,4.184782608695652,185.2608695652174,79.96739130434783,6.130434782608695,2
14,0.4444444444444444,205.37777777777777,71.86666666666666,30.6,7.677777777777778,17.252747252747252,186.57142857142858,71.74725274725274,14.802197802197803,22.67391304347826,161.83695652173913,83.07608695652173,12.119565217391305,6.880434782608695,189.5108695652174,84.6304347826087,5.456521739130435,2
15,-0.16483516483516483,210.83516483516485,71.63736263736264,32.294117647058826,5.538461538461538,17.791208791208792,207.32967032967034,73.23076923076923,13.538461538461538,23.67391304347826,171.59782608695653,85.73913043478261,5.858695652173913,6.428571428571429,184.25274725274724,79.27472527472527,2.4835164835164836,2
16,-0.3111111111111111,200.9777777777778,69.8,30.133333333333333,10.0,17.428571428571427,209.30769230769232,64.82417582417582,19.46153846153846,22.891304347826086,165.93478260869566,83.78260869565217,14.358695652173912,4.228260869565218,190.8804347826087,74.8695652173913,8.402173913043478,2
17,-0.9555555555555556,195.0,67.78888888888889,25.933333333333334,10.5,17.0,191.23076923076923,71.41758241758242,18.87912087912088,23.945652173913043,144.3695652173913,79.31521739130434,17.456521739130434,4.086956521739131,181.57608695652175,77.41304347826087,8.326086956521738,2
18,0.20300000000000007,202.67699999999996,66.50444444444445,27.488222222222223,9.926333333333334,16.469340659340656,197.70615384615388,67.1445054945055,19.288131868131867,23.403260869565216,157.77934782608696,82.00902173913043,14.89695652173913,6.1625,167.76543478260868,79.72641304347826,7.933478260869564,2
19,2.5104395604395604,187.14296703296705,70.93296703296704,36.58725274725275,10.045274725274725,16.615934065934066,176.23593406593406,68.40362637362637,18.267032967032968,22.463152173913045,142.51826086956524,84.11086956521739,13.372065217391304,4.169673913043479,186.04326086956524,74.7116304347826,8.540108695652174,2
20,-0.8673118279569892,190.60172043010752,62.888494623655916,27.376923076923077,36.80483870967742,11.216571428571427,200.47771428571428,57.247142857142855,31.689999999999998,23.557473684210528,145.62463157894737,71.73915789473685,12.686736842105264,5.799578947368421,98.9163157894737,81.19484210526316,2.2447368421052634,3
21,-0.9097872340425531,199.98851063829787,75.52659574468085,48.27319148936171,5.309255319148936,16.265212765957447,185.14542553191492,77.1277659574468,8.169255319148936,21.680842105263157,186.31578947368416,86.1741052631579,11.58842105263158,3.417684210526316,198.31073684210526,78.98631578947368,9.650315789473686,3
22,-1.0333333333333334,199.77777777777777,75.11111111111111,8.226666666666667,11.911111111111111,16.087912087912088,195.45054945054946,77.17582417582418,17.274725274725274,22.967391304347824,195.47826086956522,86.33695652173913,13.75,5.260869565217392,212.7826086956522,80.30434782608695,9.565217391304348,3
23,1.5222222222222221,205.5222222222222,74.47777777777777,29.633333333333333,11.166666666666666,16.978021978021978,211.4065934065934,74.37362637362638,17.967032967032967,21.703296703296704,185.0,82.89010989010988,13.065934065934066,4.858695652173913,200.59782608695653,78.23913043478261,9.847826086956522,3
